,authorFull,authorID,authorGender,titleFull,titleID,publYear / written,"publDate, YYYY-MM-DD",publishedBy,sizeToken/Word,sizeDigit,"size, kb",dataset (Y/N / 1/0),"typeSource (online, digital, manual)",SourceName,"OCR (tesseract, liveText, no)",Prereform2modern (YES/NO),textSource,textValidation (Y/N),comments,
1,"Крупская, Надежда Константиновна",krupskaya,F,К вопросу о свободной школе,k_voposu_o_shkole,1909,1909-01-01,1909 г - ? взято в интернете,,,24,1,online,royallib.com,NO,NO,https://royallib.com/read/krupskaya_nadegda/avtobiograficheskie_stati_dorevolyutsionnie_raboti.html#353146,N,Скопировала текст с сайта royallib.com,
2,"Крупская, Надежда Константиновна",krupskaya,F,Самоубийства учащихся,samoubiystva_uchashihsya,1911,1911-01-01,1911 г - ? взято в интернете,,,29,1,online,royallib.com,NO,NO,https://royallib.com/read/krupskaya_nadegda/avtobiograficheskie_stati_dorevolyutsionnie_raboti.html#328658,N,Скопировала текст с сайта royallib.com,
3,"Крупская, Надежда Константиновна",krupskaya,F,Школьные колонии,shkolnie_kolonii,1909,1909-01-01,1909 г - ? взято в интернете,,,10,1,online,royallib.com,NO,NO,https://royallib.com/read/krupskaya_nadegda/avtobiograficheskie_stati_dorevolyutsionnie_raboti.html#328658,N,Скопировала текст с сайта royallib.com,
4,"Крупская, Надежда Константиновна",krupskaya,F,Женщина работница,zhenshina_rabotnitsa,1901,1901-02-01,Опубликована в феврале 1901 г. в типографии Искры. Написана в 1899 г,,,113,1,online,royallib.com,NO,NO,https://royallib.com/read/krupskaya_nadegda/avtobiograficheskie_stati_dorevolyutsionnie_raboti.html#328658,N,Скопировала текст с сайта royallib.com Текст по изданию 1925 г.,
5,"Ульянов (Ленин), Владимир Ильич",lenin,M,Анархизм и социализм,anarhizm_i_socializm,1905,1905-11-25,"Газета ""Новая Жизнь"" № 21",776,6201,11,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.12.,NO,NO,,N,"Написано 24 ноября (7 декабря) 1905 г. Напечатано 25 ноября 1905 г. в газете ""Новая Жизнь"" № 21. Подпись: В. Ленин. Печатается по тексту газеты .",
6,"Ульянов (Ленин), Владимир Ильич",lenin,M,Партийная организация и партийная литература,partiynaya_organizaciya_i_literatura,1905,1905-11-13,"Газета ""Новая Жизнь"" №12",1492,11606,21,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.12.,NO,NO,,N,"Газета ""Новая Жизнь"" №12 13 ноября 1905 г. Печатается по тексту Газеты ""Новая Жизнь"" №12. ПСС, 5 изд., том 12, стр. 99-105",
7,"Ульянов (Ленин), Владимир Ильич",lenin,M,Первая победа революции,pervaya_pobeda_revolucii,1905,1905-10-25,"Газета ""Пролетарий"" №24",1941,14547,27,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.12.,NO,NO,,N,"ПСС. Том 12. «Пролетарий» № 24, 7 ноября (25 октября) 1905 г. Печатается по тексту газеты «Пролетарий», сверенному с рукописью.",
8,"Гельфанд (Парвус), Израиль Лазаревич (Александр Львович)",parvus,M,По тюрьмамъ во время революціи. Побѣгъ изъ Сибири. ,poTurmam,1908,1908-01-01,"СПб. Изд-во ""Шиповник""",33828,229843,419,1,manual,"Парвус. По тюрьмам во время революции. СПб, 1908",NO,YES,ручной набор,Y,"ИЗД. „ШИПОВНИКЪ"" СПБ. 1908. Электропечатня Я. Ливенштейнъ, Екатерингофскій 10—19. - перевела в современную орфографию 29.12.25 с помощью скрипта",
9,"Бронштейн (Троцкий), Лев Давидович",trotsky,M,Моя жизнь,moya_zhizn,,,взято в интернете,168461,1166955,2100,0,online,https://www.marxists.org/,NO,NO,https://www.marxists.org/russkij/trotsky/works/trotl026.html,N,убрала из текста все ссылки типа (С.322).,"УБРАЛА ИЗ ДАТАСЕТА - ОЧЕНЬ ДЛИННОЕ, ЖАНР (РАЗДЕЛЕНО НА ДВЕ ЧАСТИ)"
10,"Ульянов (Ленин), Владимир Ильич",lenin,M,По поводу заявления Бунда,po_povodu_bunda_I,1903,1903-01-02,"Газета ""Искра"" №33",1714,11950,22,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.7.,NO,NO,Т.7 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 33, 1 февраля 1903 г.",
