chunk_id,author,а,больше,будет,будут,бы,была,были,было,быть,в,во,вопрос,вопроса,вот,вполне,время,все,всегда,всего,всем,где,говорит,говорить,гораздо,деле,дело,для,должен,должна,должно,должны,других,его,ее,ему,если,есть,еще,же,жизни,жизнь,за,значит,и,идет,из,или,им,их,к,как,классов,когда,конечно,которая,которой,которую,которые,которых,кто,лет,лишь,мало,между,меня,мне,много,могут,может,можно,мысли,мысль,на,над,надо,не,него,нельзя,необходимо,нет,ни,нибудь,ним,них,ничего,но,нужно,о,об,образом,один,одно,одного,одной,он,она,они,организации,от,отношении,очень,перед,по,под,при,раз,с,самой,самом,свое,своего,своей,свои,своим,своих,свою,себе,себя,сказать,собой,совершенно,так,также,таким,там,тем,теории,то,того,той,только,том,тому,тот,тут,у,чем,через,что,чтобы,эта,эти,этим,это,этого,этой,этом,этому,эту,я,без,ведь,до,значение,имеет,именно,какой,которого,ли,либо,люди,менее,общества,оно,потому,почему,поэтому,право,самого,собою,совсем,таких,те,тех,уже,этих,является,более,всех,г,д,движение,движения,демократии,другой,искры,класса,который,кроме,людей,могли,момент,нашей,партии,партия,пор,после,против,рабочего,рабочие,развития,сделать,сил,социал,среди,стороны,съезда,т,борьба,борьбе,борьбу,борьбы,власти,вместе,даже,демократической,зрения,крестьян,наиболее,народа,прежде,рабочий,рабочих,революционной,россии,русской,силу,силы,со,страны,съезд,такой,теперь,тогда,точки,труда,был,вообще,всей,да,действительно,здесь,мог,особенно,почти,сам,хотя,времени,дела,которое,несколько,положение,случае,этот,вы,мы,нас,е,ибо,общество,своем,смысле,характер,нам,слова,такое,года,ей,наконец,народ,ней,пока,пролетариата,свой,однако,производства,буржуазии,власть,права,правительство,политической,свободы,правительства,массы,политических,политического,революции,революционного,революция,снова,съезде,тов,масс,демократия,пролетариат,войны,ленин,буржуазия,маркса,её
dubia_finans_manifest.txt_chunk1,dubia,1.7123287671232876,1.7123287671232876,0,1.7123287671232876,0,0,0,1.7123287671232876,0,20.54794520547945,0,0,0,0,0,1.7123287671232876,3.4246575342465753,0,0,5.136986301369863,0,0,0,0,0,0,3.4246575342465753,0,0,0,0,1.7123287671232876,5.136986301369863,0,1.7123287671232876,1.7123287671232876,0,0,1.7123287671232876,0,0,6.8493150684931505,0,53.082191780821915,0,5.136986301369863,0,0,1.7123287671232876,0,3.4246575342465753,0,1.7123287671232876,0,0,0,0,1.7123287671232876,0,0,0,0,0,0,0,0,0,0,1.7123287671232876,0,0,0,17.123287671232877,0,1.7123287671232876,13.698630136986301,5.136986301369863,0,1.7123287671232876,3.4246575342465753,0,0,1.7123287671232876,0,0,1.7123287671232876,0,0,0,0,1.7123287671232876,1.7123287671232876,0,0,1.7123287671232876,0,0,0,3.4246575342465753,0,0,3.4246575342465753,11.986301369863012,0,6.8493150684931505,0,10.273972602739725,0,0,3.4246575342465753,0,0,1.7123287671232876,0,1.7123287671232876,0,0,0,0,1.7123287671232876,1.7123287671232876,1.7123287671232876,0,0,0,1.7123287671232876,0,0,1.7123287671232876,0,3.4246575342465753,0,0,0,0,3.4246575342465753,0,0,1.7123287671232876,1.7123287671232876,0,0,0,5.136986301369863,0,1.7123287671232876,0,0,0,0,5.136986301369863,0,1.7123287671232876,0,0,0,0,0,0,0,0,0,0,6.8493150684931505,1.7123287671232876,0,1.7123287671232876,0,0,0,0,0,1.7123287671232876,0,1.7123287671232876,0,0,0,5.136986301369863,0,0,0,0,0,0,0,0,1.7123287671232876,0,0,0,0,0,5.136986301369863,0,0,1.7123287671232876,0,0,0,0,0,0,1.7123287671232876,0,0,0,0,1.7123287671232876,1.7123287671232876,1.7123287671232876,0,0,0,1.7123287671232876,1.7123287671232876,0,0,0,1.7123287671232876,0,0,1.7123287671232876,0,0,0,0,1.7123287671232876,1.7123287671232876,5.136986301369863,0,0,1.7123287671232876,0,0,0,0,0,3.4246575342465753,0,0,0,0,0,0,0,0,0,1.7123287671232876,0,0,0,0,0,0,3.4246575342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7123287671232876,0,0,0,0,0,0,0,0,0,18.835616438356162,0,0,3.4246575342465753,0,0,1.7123287671232876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dubia_nasushnie_zadachi_I.txt_chunk1,dubia,3,5,0,0,0,0,0,0,2,35,7,1,1,0,0,2,6,1,3,0,0,0,2,1,0,0,6,0,1,2,0,2,5,2,0,0,2,1,3,1,0,1,0,38,0,1,1,1,1,7,1,1,1,1,0,0,1,3,0,6,1,3,0,1,0,0,1,0,0,1,1,2,17,0,1,9,0,0,1,1,0,0,0,0,1,7,0,4,1,0,0,0,0,4,1,0,0,3,10,1,2,0,1,2,2,1,15,1,0,1,0,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,2,0,5,4,3,1,1,0,1,0,9,4,0,4,0,6,0,3,2,2,3,0,0,0,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,4,1,0,0,4,0,0,5,14,4,2,0,1,0,0,0,1,0,0,4,0,0,0,3,7,2,0,1,0,16,0,3,0,0,2,2,7,4,0,0,1,1,0,0,0,0,0,1,4,2,4,4,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,6,2,1,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
dubia_nasushnie_zadachi_I.txt_chunk2,dubia,10.309278350515465,0,0,0,2.061855670103093,0,0,2.061855670103093,0,28.8659793814433,2.061855670103093,2.061855670103093,0,0,0,0,6.185567010309278,0,2.061855670103093,0,0,0,0,0,0,0,2.061855670103093,0,0,0,6.185567010309278,0,2.061855670103093,2.061855670103093,0,4.123711340206186,2.061855670103093,2.061855670103093,0,0,2.061855670103093,6.185567010309278,0,39.175257731958766,0,4.123711340206186,2.061855670103093,2.061855670103093,0,8.247422680412372,4.123711340206186,0,0,2.061855670103093,0,4.123711340206186,0,0,0,0,2.061855670103093,2.061855670103093,0,2.061855670103093,0,0,0,0,4.123711340206186,2.061855670103093,0,0,14.43298969072165,2.061855670103093,6.185567010309278,22.680412371134018,0,0,0,0,2.061855670103093,2.061855670103093,0,0,0,0,0,2.061855670103093,0,0,2.061855670103093,2.061855670103093,0,0,4.123711340206186,2.061855670103093,2.061855670103093,6.185567010309278,4.123711340206186,2.061855670103093,0,2.061855670103093,0,0,6.185567010309278,0,4.123711340206186,0,0,0,0,4.123711340206186,2.061855670103093,0,4.123711340206186,2.061855670103093,2.061855670103093,2.061855670103093,0,0,0,0,2.061855670103093,0,0,0,0,2.061855670103093,0,0,10.309278350515465,0,0,0,0,0,0,0,8.247422680412372,2.061855670103093,0,2.061855670103093,0,6.185567010309278,0,0,2.061855670103093,0,2.061855670103093,0,4.123711340206186,0,4.123711340206186,0,0,0,0,0,0,0,0,0,2.061855670103093,0,0,0,0,0,0,0,0,2.061855670103093,0,0,4.123711340206186,2.061855670103093,0,2.061855670103093,0,2.061855670103093,0,4.123711340206186,2.061855670103093,0,0,0,0,0,0,4.123711340206186,0,0,4.123711340206186,8.247422680412372,0,0,0,4.123711340206186,4.123711340206186,0,0,0,2.061855670103093,2.061855670103093,0,0,0,0,4.123711340206186,2.061855670103093,0,8.247422680412372,0,0,0,0,0,0,0,0,0,2.061855670103093,4.123711340206186,0,2.061855670103093,0,0,4.123711340206186,2.061855670103093,0,2.061855670103093,4.123711340206186,0,2.061855670103093,0,2.061855670103093,0,0,2.061855670103093,0,0,4.123711340206186,0,0,0,0,0,0,4.123711340206186,0,0,0,0,2.061855670103093,0,18.556701030927837,2.061855670103093,0,0,0,0,0,0,0,2.061855670103093,0,0,0,2.061855670103093,2.061855670103093,2.061855670103093,0,2.061855670103093,0,0,0,0,0,0,0,4.123711340206186,0,2.061855670103093,0,2.061855670103093,2.061855670103093,2.061855670103093,2.061855670103093,0,0,0,0,0,2.061855670103093,2.061855670103093,0,0,0,0,0
dubia_novoe_poboishe_I.txt_chunk1,dubia,3,1,1,0,0,0,2,3,0,21,2,0,0,3,0,6,2,2,0,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,2,0,5,2,1,8,0,45,0,0,2,0,3,7,3,0,5,1,0,0,0,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,12,3,0,17,0,0,0,2,2,1,0,3,0,5,0,6,2,1,0,0,0,1,1,0,1,0,7,0,2,0,3,0,4,0,12,0,2,0,1,0,0,2,0,0,0,1,2,0,0,3,1,1,0,3,0,3,2,0,3,1,2,2,0,3,1,0,11,1,1,4,0,2,1,2,1,0,1,0,2,0,1,1,0,3,0,0,0,0,0,1,0,3,1,1,0,0,1,0,0,1,2,1,6,0,1,2,0,0,0,2,0,0,1,0,0,2,0,2,0,1,1,1,0,0,1,1,0,3,0,1,0,0,0,3,0,1,5,1,2,3,0,0,2,0,1,0,0,0,0,2,13,1,0,0,2,1,4,0,0,0,3,0,1,2,2,0,0,2,0,1,0,1,0,0,0,2,1,1,2,1,2,1,0,9,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dubia_novoe_poboishe_I.txt_chunk2,dubia,5.319148936170213,0,7.092198581560283,0,1.7730496453900708,0,5.319148936170213,1.7730496453900708,0,5.319148936170213,3.5460992907801416,0,0,1.7730496453900708,0,1.7730496453900708,5.319148936170213,0,0,0,0,0,0,0,0,3.5460992907801416,0,0,0,0,3.5460992907801416,0,1.7730496453900708,0,1.7730496453900708,3.5460992907801416,0,3.5460992907801416,3.5460992907801416,0,0,5.319148936170213,0,47.87234042553192,0,5.319148936170213,0,5.319148936170213,3.5460992907801416,5.319148936170213,5.319148936170213,0,3.5460992907801416,1.7730496453900708,0,0,0,1.7730496453900708,0,3.5460992907801416,0,1.7730496453900708,0,0,0,0,1.7730496453900708,0,0,0,0,0,15.957446808510637,0,1.7730496453900708,35.46099290780142,1.7730496453900708,0,0,0,0,0,0,0,1.7730496453900708,10.638297872340425,0,5.319148936170213,1.7730496453900708,0,5.319148936170213,0,3.5460992907801416,0,0,0,3.5460992907801416,1.7730496453900708,7.092198581560283,0,0,0,5.319148936170213,0,3.5460992907801416,3.5460992907801416,12.411347517730498,0,0,0,0,0,1.7730496453900708,0,0,0,0,0,0,0,1.7730496453900708,1.7730496453900708,3.5460992907801416,0,0,1.7730496453900708,0,3.5460992907801416,0,0,12.411347517730498,3.5460992907801416,0,0,0,1.7730496453900708,1.7730496453900708,0,12.411347517730498,0,0,1.7730496453900708,0,1.7730496453900708,3.5460992907801416,0,5.319148936170213,0,0,0,0,0,1.7730496453900708,0,0,0,0,0,8.865248226950355,0,0,1.7730496453900708,0,0,0,1.7730496453900708,0,0,0,0,0,1.7730496453900708,1.7730496453900708,1.7730496453900708,7.092198581560283,0,0,1.7730496453900708,5.319148936170213,0,0,1.7730496453900708,0,0,1.7730496453900708,0,0,0,1.7730496453900708,0,0,0,0,0,0,0,3.5460992907801416,1.7730496453900708,0,15.957446808510637,0,0,1.7730496453900708,0,0,0,0,1.7730496453900708,3.5460992907801416,1.7730496453900708,0,3.5460992907801416,0,0,5.319148936170213,0,0,0,0,0,0,1.7730496453900708,10.638297872340425,1.7730496453900708,0,0,0,1.7730496453900708,0,0,0,0,0,1.7730496453900708,0,0,3.5460992907801416,0,0,0,0,0,0,1.7730496453900708,0,0,0,1.7730496453900708,0,1.7730496453900708,3.5460992907801416,3.5460992907801416,0,0,0,5.319148936170213,0,1.7730496453900708,1.7730496453900708,0,0,0,0,1.7730496453900708,1.7730496453900708,0,0,0,0,0,0,0,0,0,0,0,0,1.7730496453900708,0,3.5460992907801416,0,0,1.7730496453900708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dubia_ot_red_iskry_I.txt_chunk1,dubia,7,2,2,0,4,1,0,2,1,24,4,2,0,1,2,2,8,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,10,4,2,0,2,1,2,0,0,2,1,49,1,2,3,0,1,6,5,0,2,0,2,0,0,1,1,0,0,2,0,2,0,0,0,1,1,0,6,1,8,0,1,10,0,2,5,1,0,0,0,0,0,4,0,6,0,1,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,10,0,1,0,0,0,3,0,0,0,0,1,2,0,1,2,0,1,0,2,0,1,2,0,2,2,0,1,0,0,1,0,10,2,1,0,2,4,3,3,2,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,0,1,2,0,0,1,0,0,1,1,4,0,1,3,3,0,0,5,10,2,1,1,1,1,0,0,0,2,2,7,1,1,0,2,4,0,0,1,0,16,3,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,1,2,4,3,0,1,0,0,0,2,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,14,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
dubia_ot_red_iskry_I.txt_chunk2,dubia,2.288329519450801,0,6.864988558352402,0,6.864988558352402,0,0,2.288329519450801,2.288329519450801,27.459954233409608,0,0,0,0,0,0,9.153318077803204,0,0,2.288329519450801,0,0,0,0,0,0,9.153318077803204,0,2.288329519450801,0,2.288329519450801,2.288329519450801,0,2.288329519450801,0,0,0,0,0,0,0,0,0,32.036613272311214,0,6.864988558352402,2.288329519450801,2.288329519450801,0,4.576659038901602,9.153318077803204,0,0,0,0,0,0,4.576659038901602,0,2.288329519450801,0,0,0,4.576659038901602,0,0,0,0,2.288329519450801,0,0,0,13.729977116704804,2.288329519450801,0,13.729977116704804,2.288329519450801,0,0,0,0,0,0,0,0,4.576659038901602,0,4.576659038901602,0,0,0,0,0,0,0,6.864988558352402,0,0,0,0,2.288329519450801,0,2.288329519450801,4.576659038901602,4.576659038901602,0,11.441647597254004,0,0,0,2.288329519450801,4.576659038901602,0,4.576659038901602,0,0,0,0,0,0,0,2.288329519450801,4.576659038901602,0,0,2.288329519450801,0,0,0,0,13.729977116704804,2.288329519450801,2.288329519450801,2.288329519450801,0,0,2.288329519450801,0,4.576659038901602,2.288329519450801,2.288329519450801,2.288329519450801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288329519450801,0,0,0,2.288329519450801,2.288329519450801,0,0,0,4.576659038901602,2.288329519450801,0,4.576659038901602,4.576659038901602,2.288329519450801,0,0,0,2.288329519450801,0,0,0,0,2.288329519450801,2.288329519450801,0,0,0,2.288329519450801,0,0,0,0,2.288329519450801,18.30663615560641,0,2.288329519450801,0,0,0,2.288329519450801,2.288329519450801,4.576659038901602,0,0,4.576659038901602,2.288329519450801,2.288329519450801,0,2.288329519450801,0,0,0,0,0,2.288329519450801,2.288329519450801,0,0,2.288329519450801,2.288329519450801,0,2.288329519450801,0,0,2.288329519450801,2.288329519450801,0,0,0,0,2.288329519450801,0,0,0,0,0,0,0,0,0,0,0,0,4.576659038901602,0,22.88329519450801,0,0,2.288329519450801,0,0,0,0,2.288329519450801,2.288329519450801,0,0,0,0,0,0,0,2.288329519450801,4.576659038901602,0,0,0,0,0,0,2.288329519450801,0,0,0,0,0,0,2.288329519450801,0,0,0,0,0,0,2.288329519450801,0,0,0,0,0
dubia_ot_red_na_pismo_parvusa_I.txt_chunk1,dubia,0,0,9.950248756218905,0,0,0,0,0,0,19.90049751243781,9.950248756218905,0,0,0,0,0,0,0,0,0,0,4.975124378109452,0,4.975124378109452,0,0,0,0,0,0,4.975124378109452,0,19.90049751243781,0,4.975124378109452,4.975124378109452,0,0,0,0,0,0,0,24.875621890547265,0,0,0,4.975124378109452,0,4.975124378109452,14.925373134328359,0,0,4.975124378109452,9.950248756218905,0,0,0,0,0,0,0,0,0,0,0,4.975124378109452,0,4.975124378109452,0,0,4.975124378109452,9.950248756218905,4.975124378109452,0,19.90049751243781,0,0,0,0,0,0,0,0,0,9.950248756218905,0,9.950248756218905,0,0,0,0,4.975124378109452,0,9.950248756218905,0,0,0,24.875621890547265,4.975124378109452,4.975124378109452,0,19.90049751243781,0,0,0,9.950248756218905,0,0,0,0,0,0,0,0,9.950248756218905,0,0,4.975124378109452,0,0,4.975124378109452,4.975124378109452,0,0,0,0,4.975124378109452,0,4.975124378109452,0,0,0,0,0,0,4.975124378109452,0,29.850746268656717,0,0,0,4.975124378109452,4.975124378109452,0,0,9.950248756218905,4.975124378109452,0,0,0,0,0,0,4.975124378109452,0,0,4.975124378109452,0,0,0,0,0,0,0,0,0,4.975124378109452,0,0,0,0,0,4.975124378109452,0,0,9.950248756218905,0,0,0,0,0,0,0,0,4.975124378109452,0,0,0,0,0,0,0,0,0,4.975124378109452,0,4.975124378109452,0,0,0,0,0,0,0,0,14.925373134328359,4.975124378109452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.975124378109452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.975124378109452,0,0,0,0,4.975124378109452,0,4.975124378109452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.950248756218905,34.82587064676617,0,0,0,0,0,0,0,0
dubia_poslednee_slovo_bund_I.txt_chunk1,dubia,2.0222446916076846,0,0,0,9.100101112234581,1.0111223458038423,0,4.044489383215369,3.033367037411527,21.23356926188069,0,0,1.0111223458038423,0,0,0,4.044489383215369,0,0,2.0222446916076846,1.0111223458038423,1.0111223458038423,0,0,0,0,2.0222446916076846,2.0222446916076846,1.0111223458038423,0,1.0111223458038423,1.0111223458038423,2.0222446916076846,0,0,3.033367037411527,3.033367037411527,4.044489383215369,2.0222446916076846,0,0,0,1.0111223458038423,31.344792719919106,0,4.044489383215369,2.0222446916076846,0,0,9.100101112234581,9.100101112234581,0,2.0222446916076846,0,1.0111223458038423,2.0222446916076846,1.0111223458038423,5.055611729019211,0,2.0222446916076846,0,2.0222446916076846,1.0111223458038423,1.0111223458038423,0,0,3.033367037411527,0,2.0222446916076846,1.0111223458038423,1.0111223458038423,0,11.122345803842265,1.0111223458038423,0,22.24469160768453,0,0,0,1.0111223458038423,4.044489383215369,0,0,0,1.0111223458038423,3.033367037411527,0,10.111223458038422,0,1.0111223458038423,0,0,0,2.0222446916076846,3.033367037411527,0,1.0111223458038423,4.044489383215369,6.066734074823054,0,0,0,6.066734074823054,0,1.0111223458038423,2.0222446916076846,10.111223458038422,1.0111223458038423,0,1.0111223458038423,1.0111223458038423,2.0222446916076846,2.0222446916076846,0,0,1.0111223458038423,2.0222446916076846,0,2.0222446916076846,0,2.0222446916076846,0,0,1.0111223458038423,0,1.0111223458038423,0,2.0222446916076846,6.066734074823054,1.0111223458038423,6.066734074823054,2.0222446916076846,0,1.0111223458038423,1.0111223458038423,1.0111223458038423,0,0,11.122345803842265,3.033367037411527,1.0111223458038423,1.0111223458038423,0,6.066734074823054,3.033367037411527,1.0111223458038423,0,2.0222446916076846,0,0,2.0222446916076846,0,3.033367037411527,0,1.0111223458038423,1.0111223458038423,2.0222446916076846,0,0,2.0222446916076846,0,0,0,1.0111223458038423,0,0,1.0111223458038423,1.0111223458038423,0,0,1.0111223458038423,0,1.0111223458038423,2.0222446916076846,2.0222446916076846,0,0,1.0111223458038423,4.044489383215369,0,0,1.0111223458038423,0,0,1.0111223458038423,1.0111223458038423,0,0,0,0,0,0,0,15.166835187057634,2.0222446916076846,0,1.0111223458038423,0,0,1.0111223458038423,0,0,0,3.033367037411527,2.0222446916076846,3.033367037411527,3.033367037411527,0,1.0111223458038423,1.0111223458038423,0,0,0,0,4.044489383215369,1.0111223458038423,2.0222446916076846,0,0,0,0,0,2.0222446916076846,0,1.0111223458038423,0,0,0,1.0111223458038423,0,5.055611729019211,0,1.0111223458038423,1.0111223458038423,1.0111223458038423,0,1.0111223458038423,0,0,1.0111223458038423,0,1.0111223458038423,0,1.0111223458038423,0,0,0,1.0111223458038423,1.0111223458038423,0,0,0,0,1.0111223458038423,0,2.0222446916076846,1.0111223458038423,0,0,0,0,0,0,2.0222446916076846,1.0111223458038423,2.0222446916076846,0,0,0,0,0,0,4.044489383215369,0,0,0,0,0,2.0222446916076846,0,0,0,0,0,0,0,0,0,0,0,1.0111223458038423,0,0,0,0,0,0,0,0,0
dubia_priznaki_bankrotstva_I.txt_chunk1,dubia,2,0,0,0,5,0,1,3,3,31,0,2,1,1,0,2,2,0,2,1,0,0,0,0,0,1,4,0,1,2,0,1,4,1,1,2,1,0,6,0,3,2,0,37,0,3,4,2,6,4,6,0,2,0,1,1,1,0,0,2,1,1,1,3,0,0,0,0,2,2,0,0,13,1,0,22,1,0,0,0,2,1,0,1,2,4,2,1,3,0,0,2,0,0,1,0,3,1,4,0,0,2,1,2,1,1,8,0,0,3,1,0,0,1,0,0,0,1,1,0,0,2,0,0,0,3,0,1,6,3,2,1,0,1,0,3,2,0,14,3,0,1,2,1,4,0,2,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,4,5,0,0,0,3,1,0,0,0,0,3,2,3,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,2,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,7,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,5,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0
