file_name,а,без,было,в,время,все,всех,даже,для,до,его,если,же,за,и,из,их,как,когда,которые,который,может,мы,на,не,нет,но,он,оно,от,партии,по,при,рабочих,с,со,социал,так,тем,теперь,того,только,у,уже,что,чтобы,это,этой,более,борьбы,бы,был,быть,во,вопрос,всего,г,демократии,ее,есть,еще,или,им,к,лишь,между,можно,нам,нас,ни,о,об,она,они,организации,очень,политической,пролетариата,против,революции,россии,своей,себе,себя,то,том,чем,эти,этом,этот,будет,были,дело,именно,ли,т,этого,была,тов,я,author_folder
dubia_finans_manifest.txt,1,3,1,12,1,2,3,1,2,1,3,1,1,4,31,3,1,2,1,1,1,1,2,10,8,2,1,1,4,2,3,7,4,1,6,1,1,1,1,1,1,2,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_nasushnie_zadachi_I.txt,8,2,1,49,2,9,4,1,7,4,6,2,3,4,57,3,1,3,1,3,0,2,12,24,20,1,7,3,1,12,8,1,5,6,17,1,17,1,0,0,2,10,0,6,13,5,9,3,1,8,1,1,2,8,2,4,1,4,3,3,2,2,2,11,4,2,2,1,2,1,5,1,1,1,6,2,8,4,5,1,5,4,1,1,2,4,1,5,3,1,0,0,0,0,0,0,0,0,0,0,dubia
dubia_novoe_poboishe_I.txt,6,2,4,24,7,5,3,5,2,2,1,3,7,11,72,3,5,6,7,6,2,1,12,21,37,2,11,1,3,11,1,6,6,19,19,4,0,4,4,3,2,10,4,10,18,1,3,2,3,5,1,4,0,4,0,0,0,0,0,2,2,2,3,10,1,0,0,1,3,2,9,3,0,3,1,2,2,0,2,0,0,0,0,1,5,3,2,5,4,1,5,5,2,3,5,2,3,0,0,0,dubia
dubia_ot_red_iskry_I.txt,8,0,3,36,2,12,5,3,7,1,10,0,2,2,63,5,1,9,2,3,2,2,24,14,16,1,6,0,0,5,8,5,2,1,15,1,24,3,3,1,2,8,0,5,12,3,4,3,3,2,7,1,2,4,2,3,1,3,5,2,1,4,1,8,2,4,0,2,1,0,8,0,3,0,0,1,3,2,3,0,5,2,0,1,1,3,2,1,2,3,5,0,0,1,2,1,3,1,0,0,dubia
dubia_ot_red_na_pismo_parvusa_I.txt,0,0,0,4,0,0,0,0,0,0,4,1,0,0,5,0,0,3,0,0,0,1,1,2,4,0,2,2,0,5,0,4,0,0,2,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,1,0,0,7,0,dubia
dubia_poslednee_slovo_bund_I.txt,2,2,4,21,0,4,4,4,2,3,2,3,2,0,31,4,0,9,2,5,0,2,2,11,22,1,3,3,1,6,15,6,1,2,10,1,3,0,1,1,6,6,1,2,11,3,6,1,1,0,9,1,3,0,0,0,0,0,0,3,4,2,0,9,2,1,1,2,1,4,10,0,0,1,4,0,0,4,0,0,1,2,2,0,2,2,0,1,0,1,0,0,0,1,0,0,3,1,0,0,dubia
dubia_priznaki_bankrotstva_I.txt,6,1,3,52,5,4,4,1,7,2,11,2,9,4,51,7,6,9,3,0,0,3,7,17,32,3,6,2,9,6,0,3,4,0,21,3,1,3,3,3,8,2,4,4,23,4,7,0,0,4,5,1,5,1,2,3,2,0,2,1,1,6,3,9,1,3,2,1,2,2,6,4,0,3,1,1,1,1,1,0,1,0,0,1,4,5,3,2,3,1,5,1,2,0,4,1,8,1,0,0,dubia
dubia_slovo_mosc_vedomostyam_I.txt,14,1,13,51,3,10,2,5,18,5,18,12,6,9,65,10,11,8,9,1,0,5,0,17,48,4,16,5,3,13,2,7,4,0,27,2,1,5,6,3,3,2,2,4,26,2,7,2,4,3,24,0,7,5,0,4,1,1,3,1,3,9,3,12,4,1,2,0,2,13,14,1,2,4,0,2,1,0,4,0,7,2,0,3,18,2,6,1,0,1,8,0,1,1,1,1,8,4,0,0,dubia
dubia_zakon_o_voznagr_I.txt,13,3,1,45,0,13,8,6,10,7,11,5,4,22,104,11,9,7,2,11,2,4,4,18,37,1,10,4,0,17,0,10,9,24,17,0,1,3,5,1,4,16,3,5,17,5,19,2,6,1,6,1,6,3,0,3,0,0,1,2,8,9,3,10,3,3,2,1,2,3,16,3,0,0,0,1,1,1,1,0,2,0,3,4,4,2,9,5,3,2,4,0,3,3,1,4,6,1,0,0,dubia
krupskaya_k_voposu_o_shkole.txt,6,1,2,58,3,8,0,0,4,1,10,10,6,2,66,5,15,12,2,2,0,6,0,19,27,1,11,20,1,5,0,10,4,0,19,0,0,3,4,0,6,5,4,2,16,9,17,7,0,0,6,0,8,2,1,1,0,0,3,1,4,6,6,19,6,5,2,0,0,1,12,1,7,7,4,8,0,0,0,0,0,1,4,3,11,2,5,1,5,0,7,2,7,1,1,0,3,1,0,6,krupskaya
krupskaya_o_staroy_iskre.txt,3,5,2,40,1,8,3,1,3,2,1,4,1,14,26,7,4,9,1,1,1,1,0,15,19,0,6,6,0,2,6,9,1,10,29,1,5,0,1,1,0,3,1,0,10,1,2,2,0,9,14,0,1,1,0,4,1,3,8,2,2,0,1,10,0,1,0,0,0,0,5,1,7,6,1,0,0,0,1,0,7,3,1,2,1,6,1,0,0,0,2,2,1,2,1,0,3,6,0,0,krupskaya
krupskaya_samoubiystva_uchashihsya.txt,19,0,3,83,6,10,2,0,5,3,14,4,7,10,80,6,10,20,5,1,1,8,0,27,41,2,14,22,0,7,0,13,3,0,41,3,0,14,5,1,4,15,3,2,31,15,14,2,5,0,5,1,13,4,3,2,6,0,7,0,2,9,3,17,8,3,1,0,0,2,16,2,6,3,2,0,0,0,0,0,0,0,10,3,12,5,2,3,8,2,8,3,2,0,2,2,4,0,0,1,krupskaya
krupskaya_shkolnie_kolonii.txt,5,0,1,30,1,2,1,2,14,2,0,2,4,4,35,2,3,3,0,1,1,0,2,8,13,2,8,0,2,1,0,4,2,1,7,0,0,2,0,0,2,4,3,1,3,1,2,0,1,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,2,0,3,2,1,3,0,0,0,0,0,0,0,0,0,4,2,0,1,1,3,0,0,0,2,0,3,2,1,0,0,0,krupskaya
krupskaya_sovmestnoe_obuchenie.txt,19,2,2,93,0,7,2,4,7,1,14,7,7,6,111,8,9,23,7,3,1,18,5,48,48,4,17,19,2,10,0,7,12,0,30,0,0,14,4,0,8,5,9,7,43,11,9,4,5,1,10,2,12,5,19,5,16,0,5,1,3,15,2,24,4,14,2,1,0,0,26,4,6,9,0,5,0,0,4,0,0,2,3,1,16,3,11,8,8,5,8,0,3,1,16,5,6,0,0,8,krupskaya
krupskaya_zhenshina_rabotnitsa.txt,49,17,14,312,20,48,24,6,32,13,21,26,44,62,326,21,35,77,16,12,4,34,17,172,183,20,40,20,3,44,2,34,21,28,85,2,0,35,9,10,23,34,27,10,138,49,33,5,10,4,33,1,15,18,0,5,8,0,43,9,19,18,22,36,16,9,7,0,4,28,38,7,74,51,1,16,4,2,3,0,10,6,12,19,37,16,28,11,2,4,30,5,23,0,11,9,9,6,0,1,krupskaya
lenin_183_students_I.txt,4,1,5,33,1,7,3,2,5,5,5,4,0,6,64,3,10,10,1,2,1,5,1,20,20,3,10,3,6,8,0,3,0,2,15,3,2,6,1,2,3,3,4,3,14,6,8,2,2,1,6,1,3,5,0,4,2,0,1,5,2,1,0,10,1,1,0,0,3,0,1,1,2,7,3,2,1,0,4,1,0,2,0,3,2,1,3,1,0,2,2,2,0,0,3,1,1,2,0,0,lenin
lenin_1st_of_may.txt,10,0,1,24,0,11,5,0,4,2,7,0,1,15,52,3,5,2,5,2,0,1,0,16,7,2,4,1,0,8,1,3,1,6,2,1,2,0,2,1,2,5,3,1,4,3,2,2,8,1,2,0,3,0,0,2,0,0,1,0,2,0,0,16,0,0,0,2,0,0,0,0,1,12,0,0,0,3,4,0,6,2,1,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,lenin
lenin_anarhizm_i_socializm.txt,5,0,1,20,0,2,1,2,4,1,3,3,2,6,27,3,8,4,0,0,0,1,4,7,12,0,1,0,1,1,3,2,0,13,5,2,1,1,2,0,0,1,0,2,1,1,3,1,1,4,4,1,1,1,1,1,0,0,0,1,1,9,0,4,2,2,0,1,0,1,4,0,0,4,3,0,2,4,1,5,3,0,0,0,1,1,3,1,0,0,1,0,0,0,2,0,4,0,0,0,lenin
