file_name,а,без,больше,борьба,борьбе,борьбу,будут,было,в,время,все,всей,всем,всех,даже,дела,демократической,для,до,других,его,ему,если,же,за,и,из,их,как,когда,которые,который,может,мы,на,надо,народ,народа,не,него,необходимо,нет,но,один,одно,он,оно,от,партии,перед,по,политического,после,потому,поэтому,правительства,правительство,при,работы,рабочих,с,свое,свои,своих,силы,со,собой,совершенно,социал,так,те,тем,теперь,того,только,у,уже,что,чтобы,это,этой,более,борьбы,бы,был,быть,во,вообще,вопрос,вопроса,времени,всегда,всего,всю,г,года,гораздо,движение,движения,демократии,демократия,должна,должно,должны,другой,ее,есть,еще,жизни,жизнь,здесь,значение,ибо,или,им,имеет,к,какой,класса,классов,конечно,которой,кто,лет,лишь,людей,между,много,могли,можно,мысли,мысль,над,наконец,нам,нами,нас,нашего,нашей,ни,нибудь,ничего,о,об,общества,одной,она,они,организации,особенно,очень,под,политические,политических,политической,политическую,право,пролетариат,пролетариата,против,рабочего,рабочие,рабочий,раз,революции,революционного,революционной,россии,русской,самой,свободы,своей,свою,сделать,себе,себя,сил,сказать,слова,смысле,собою,стороны,съезд,также,таких,такой,то,тогда,том,тому,тот,труда,тут,чем,эти,этих,этом,этому,этот,эту,1,будет,были,власть,вот,где,да,деле,дело,е,зрения,именно,которое,которых,кроме,ли,массы,менее,момент,несколько,них,образом,одного,п,положение,почему,самого,самом,своего,своим,силу,случае,степени,т,такие,таким,тех,точки,характер,эта,этого,является,была,вполне,действительно,значит,искры,которая,либо,люди,мог,могут,наиболее,нельзя,партия,пор,прежде,среди,хотя,этим,вопросу,говорит,которого,съезда,съезде,тов,той,должен,мало,права,совсем,такое,ясно,ведь,власти,крестьян,нужно,почти,своем,вместе,вы,масс,наши,развития,буржуазии,пока,сам,через,меня,мне,стр,там,я,д,мартов,земли,однако,революция,войны,цк,author_folder
dubia_finans_manifest.txt,1,3,1,1,1,1,1,1,12,1,2,2,3,3,1,1,1,2,1,1,3,1,1,1,4,31,3,1,2,1,1,1,1,2,10,1,1,1,8,3,1,2,1,1,1,1,4,2,3,2,7,1,1,1,1,2,11,4,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_nasushnie_zadachi_I.txt,8,2,5,4,3,7,0,1,49,2,9,1,0,4,1,2,1,7,4,2,6,0,2,3,4,57,3,1,3,1,3,0,2,12,24,4,1,0,20,0,1,1,7,1,1,3,1,12,8,1,1,1,0,0,0,2,0,5,3,6,17,1,2,2,3,1,0,1,17,1,2,0,0,2,10,0,6,13,5,9,3,1,8,1,1,2,8,1,2,1,1,1,4,2,1,2,1,7,15,4,5,1,2,3,2,3,3,2,1,1,2,1,1,2,2,1,11,1,1,1,2,2,6,2,4,2,2,1,1,2,1,2,1,1,1,1,2,3,2,1,1,1,5,1,2,4,1,1,6,2,2,2,1,4,8,6,1,1,4,5,9,2,2,1,1,1,2,5,4,1,2,4,2,1,1,1,1,1,1,1,1,3,1,1,1,4,2,1,4,3,1,2,1,1,5,2,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_novoe_poboishe_I.txt,6,2,1,7,2,2,0,4,24,7,5,0,1,3,5,1,0,2,2,0,1,1,3,7,11,72,3,5,6,7,6,2,1,12,21,1,0,0,37,1,0,2,11,3,0,1,3,11,1,0,6,0,3,1,0,3,5,6,3,19,19,0,1,0,2,4,0,1,0,4,3,4,3,2,10,4,10,18,1,3,2,3,5,1,4,0,4,0,0,0,3,2,0,1,0,0,0,3,0,0,0,0,0,4,2,0,2,2,2,1,1,1,2,2,3,0,10,0,0,0,2,0,4,1,1,2,0,1,0,0,0,0,3,1,1,0,3,0,1,2,1,1,9,3,0,1,0,3,1,2,2,0,0,0,2,1,0,0,0,2,0,12,3,2,0,0,2,0,0,0,1,0,0,1,0,1,1,2,1,0,0,3,0,3,2,0,5,1,3,2,2,2,0,2,5,0,4,0,1,1,1,5,5,1,4,1,2,1,2,1,1,3,2,1,1,5,1,2,1,4,3,1,2,1,3,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_ot_red_iskry_I.txt,8,0,2,0,1,3,0,3,36,2,12,1,1,5,3,1,1,7,1,1,10,2,0,2,2,63,5,1,9,2,3,2,2,24,14,1,0,1,16,1,5,1,6,0,0,0,0,5,8,0,5,0,0,0,2,0,0,2,0,1,15,0,3,0,1,1,0,1,24,3,1,3,1,2,8,0,5,12,3,4,3,3,2,7,1,2,4,0,2,0,0,0,3,1,1,1,0,7,12,3,0,1,0,4,1,5,2,1,0,0,0,1,1,4,1,0,8,1,1,0,0,0,1,0,2,0,4,0,0,0,6,1,1,1,2,1,1,3,3,0,0,0,8,0,0,0,3,0,0,1,1,3,0,0,3,0,0,1,2,3,4,0,1,0,0,2,2,5,4,0,0,2,0,1,0,1,1,2,1,0,2,2,0,2,0,3,1,1,3,1,2,2,0,2,1,0,2,1,3,0,1,5,0,0,1,0,1,0,0,1,1,1,0,1,0,2,0,0,2,1,0,1,0,3,0,1,0,1,1,2,0,0,0,1,0,1,2,1,1,2,3,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_ot_red_na_pismo_parvusa_I.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,5,0,0,3,0,0,0,1,1,2,0,0,0,4,0,0,0,2,0,0,2,0,5,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_poslednee_slovo_bund_I.txt,2,2,0,1,1,0,0,4,21,0,4,0,2,4,4,1,1,2,3,1,2,0,3,2,0,31,4,0,9,2,5,0,2,2,11,0,0,0,22,0,0,1,3,0,0,3,1,6,15,0,6,0,1,0,1,0,0,1,0,2,10,1,2,0,0,1,0,2,3,0,1,1,1,6,6,1,2,11,3,6,1,1,0,9,1,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,3,4,0,0,1,0,0,2,0,1,9,2,0,0,0,2,2,0,2,0,1,3,0,1,1,0,1,0,2,0,1,0,0,4,0,1,10,0,0,2,0,1,4,1,0,0,0,0,0,0,1,0,4,0,0,1,0,2,0,0,0,1,0,1,0,2,1,0,2,0,0,2,1,0,0,3,5,0,0,0,2,1,2,0,1,0,1,0,1,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,0,1,3,0,1,0,0,1,1,1,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,3,1,0,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_priznaki_bankrotstva_I.txt,6,1,0,0,1,0,0,3,52,5,4,0,2,4,1,0,0,7,2,1,11,2,2,9,4,51,7,6,9,3,0,0,3,7,17,0,0,1,32,1,1,3,6,0,2,2,9,6,0,4,3,2,7,0,0,6,3,4,0,0,21,3,0,0,0,3,0,0,1,3,0,3,3,8,2,4,4,23,4,7,0,0,4,5,1,5,1,0,2,1,5,0,3,1,2,4,0,2,1,0,0,1,2,1,1,2,1,1,1,3,0,0,0,6,3,0,9,0,0,0,0,2,2,4,1,0,3,0,0,2,0,1,1,1,1,1,2,1,0,2,2,2,6,4,4,0,0,3,1,0,1,3,0,0,1,1,3,0,1,1,0,2,0,1,0,1,2,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,4,0,5,0,1,0,0,3,2,3,3,1,1,1,0,5,1,0,2,0,3,0,2,1,1,0,1,0,1,4,0,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0,1,1,2,0,4,2,0,1,8,2,1,0,2,0,0,2,2,1,0,0,0,1,0,1,1,0,2,2,0,0,1,0,0,0,4,0,1,0,0,0,3,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_slovo_mosc_vedomostyam_I.txt,14,1,4,2,0,1,1,13,51,3,10,1,1,2,5,0,0,18,5,0,18,0,12,6,9,65,10,11,8,9,1,0,5,0,17,0,2,2,48,2,1,4,16,0,1,5,3,13,2,1,7,0,1,0,2,17,10,4,0,0,27,0,1,0,3,2,0,3,1,5,2,6,3,3,2,2,4,26,2,7,2,4,3,24,0,7,5,1,0,0,0,2,4,1,1,1,0,0,0,1,1,2,5,1,1,3,1,3,0,1,1,1,1,9,3,0,12,0,0,0,1,1,3,0,4,0,1,0,0,2,2,0,5,0,0,4,2,0,1,13,0,1,14,1,1,0,2,4,0,0,2,2,0,0,1,0,0,0,0,4,0,0,0,1,0,1,1,7,0,0,1,2,4,0,0,3,1,0,0,0,0,3,0,2,0,0,18,1,2,0,4,0,0,6,1,4,0,0,1,1,0,8,0,1,0,3,1,0,1,1,4,1,0,0,4,1,1,1,0,1,0,2,0,0,0,0,0,3,1,1,1,2,0,1,3,1,2,3,0,1,8,2,4,4,1,0,0,0,1,0,0,1,1,2,1,3,2,1,0,1,0,1,2,0,0,0,0,0,1,2,0,0,1,1,4,5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dubia
dubia_zakon_o_voznagr_I.txt,13,3,2,1,0,0,7,1,45,0,13,0,2,8,6,2,0,10,7,1,11,0,5,4,22,104,11,9,7,2,11,2,4,4,18,1,0,0,37,1,1,1,10,1,1,4,0,17,0,0,10,0,1,1,2,2,5,9,1,24,17,0,0,0,1,0,1,4,1,3,1,5,1,4,16,3,5,17,5,19,2,6,1,6,1,6,3,3,0,0,1,4,3,1,0,0,0,2,0,0,0,1,1,1,2,1,2,8,0,2,2,1,1,9,3,2,10,1,2,1,4,0,6,6,3,0,3,0,1,2,0,0,3,2,1,1,2,2,2,3,3,1,16,3,0,1,0,0,0,4,1,5,0,1,1,0,4,3,1,1,10,7,7,1,0,0,0,2,0,0,0,0,1,1,3,4,0,0,0,0,1,3,0,1,2,0,4,3,2,3,2,2,4,9,5,0,3,0,2,0,0,4,0,0,1,0,0,5,3,2,2,3,1,2,1,1,2,0,0,0,3,2,0,3,0,0,1,1,0,1,1,4,2,4,2,0,3,2,0,0,6,1,1,1,0,4,0,1,2,0,0,2,4,2,1,1,0,3,2,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,dubia
krupskaya_k_voposu_o_shkole.txt,6,1,4,0,0,0,7,2,58,3,8,0,1,0,0,0,0,4,1,2,10,3,10,6,2,66,5,15,12,2,2,0,6,0,19,5,0,0,27,3,2,1,11,2,2,20,1,5,0,1,10,0,0,2,1,0,0,4,0,0,19,1,2,3,0,0,4,2,0,3,1,4,0,6,5,4,2,16,9,17,7,0,0,6,0,8,2,0,1,1,0,1,1,1,0,0,6,0,0,0,0,1,1,3,0,3,1,4,3,5,0,3,0,6,6,1,19,1,0,1,6,4,4,1,6,0,5,4,0,2,1,2,2,0,0,0,0,0,0,1,6,1,12,1,1,2,7,7,4,0,8,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,4,3,0,1,0,0,1,0,0,2,1,0,11,0,2,2,2,0,4,5,1,2,5,3,0,4,0,7,2,0,2,6,0,4,7,0,0,1,0,2,0,1,0,1,0,0,6,3,1,0,0,1,2,1,2,4,0,0,1,0,0,2,1,0,0,4,3,2,1,2,0,1,0,3,2,1,0,1,0,2,0,0,0,0,0,1,4,1,1,0,0,0,3,8,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,6,0,0,0,0,0,0,0,krupskaya
