chunk_id,author,а,будет,бы,была,были,было,быть,в,во,вопрос,время,все,всего,дело,для,его,ее,если,есть,еще,же,за,и,из,или,им,их,к,как,когда,которые,лишь,между,может,можно,на,не,нет,ни,но,о,об,он,она,они,от,очень,по,под,при,с,своей,своих,себе,себя,так,тем,то,того,только,том,у,чем,что,чтобы,эти,это,этого,этой,этом,я,без,до,именно,ли,оно,потому,уже,более,всех,г,демократии,партии,против,социал,т,борьбы,даже,рабочих,россии,со,теперь,был,этот,мы,нас,нам,пролетариата,политической,революции
krupskaya_k_voposu_o_shkole.txt_chunk1,krupskaya,3,1,4,1,2,2,3,28,1,1,1,2,1,4,3,9,2,8,1,3,3,1,34,2,3,4,2,6,5,2,1,3,3,3,1,10,20,1,1,8,10,1,15,1,3,4,4,5,1,1,9,1,2,2,2,2,3,6,3,2,2,2,3,10,6,1,6,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_k_voposu_o_shkole.txt_chunk2,krupskaya,3.5046728971962615,7.009345794392523,2.336448598130841,0,0,0,5.841121495327102,35.046728971962615,1.1682242990654206,0,2.336448598130841,7.009345794392523,0,3.5046728971962615,1.1682242990654206,1.1682242990654206,1.1682242990654206,2.336448598130841,0,1.1682242990654206,3.5046728971962615,1.1682242990654206,37.38317757009346,3.5046728971962615,3.5046728971962615,2.336448598130841,15.186915887850468,15.186915887850468,8.177570093457943,0,1.1682242990654206,3.5046728971962615,2.336448598130841,3.5046728971962615,1.1682242990654206,10.514018691588785,8.177570093457943,0,0,3.5046728971962615,2.336448598130841,0,5.841121495327102,7.009345794392523,4.672897196261682,1.1682242990654206,4.672897196261682,5.841121495327102,0,3.5046728971962615,11.682242990654204,0,1.1682242990654206,2.336448598130841,1.1682242990654206,1.1682242990654206,1.1682242990654206,5.841121495327102,3.5046728971962615,3.5046728971962615,0,2.336448598130841,2.336448598130841,7.009345794392523,3.5046728971962615,0,12.850467289719626,1.1682242990654206,2.336448598130841,3.5046728971962615,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,2.336448598130841,2.336448598130841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_merged__iskre.txt_hihsya.txt_chenie.txt,krupskaya,7.278020378457059,5.822416302765648,8.73362445414847,1.455604075691412,0,1.455604075691412,2.911208151382824,26.200873362445414,1.455604075691412,0,1.455604075691412,5.822416302765648,1.455604075691412,2.911208151382824,1.455604075691412,1.455604075691412,8.73362445414847,1.455604075691412,1.455604075691412,1.455604075691412,2.911208151382824,5.822416302765648,36.390101892285294,4.366812227074235,0,4.366812227074235,2.911208151382824,8.73362445414847,14.556040756914118,1.455604075691412,0,1.455604075691412,1.455604075691412,2.911208151382824,1.455604075691412,13.100436681222707,5.822416302765648,0,0,4.366812227074235,2.911208151382824,0,11.644832605531295,1.455604075691412,4.366812227074235,1.455604075691412,0,5.822416302765648,0,1.455604075691412,23.28966521106259,0,0,0,0,4.366812227074235,1.455604075691412,0,2.911208151382824,4.366812227074235,0,0,1.455604075691412,4.366812227074235,4.366812227074235,2.911208151382824,5.822416302765648,4.366812227074235,1.455604075691412,2.911208151382824,2.911208151382824,2.911208151382824,1.455604075691412,0,0,0,0,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_o_staroy_iskre.txt_chunk1,krupskaya,2,2,8,5,2,2,0,34,1,0,1,6,3,0,3,1,3,4,1,1,1,12,20,6,0,0,2,7,5,1,1,0,0,1,0,10,16,0,0,4,5,1,6,6,5,1,0,7,0,1,22,3,0,1,2,0,0,1,0,2,6,1,1,9,1,0,0,2,1,0,0,3,1,2,1,0,0,0,0,3,1,2,5,1,4,0,9,1,10,7,1,1,0,0,0,0,0,0,0,0
krupskaya_samoubiystva_uchashihsya.txt_chunk1,krupskaya,8,0,2,0,3,2,0,45,1,3,4,2,1,0,3,4,5,3,0,2,4,5,28,3,5,0,6,5,9,3,0,5,0,2,0,15,26,1,1,5,7,1,2,3,1,2,0,7,0,0,12,0,0,5,2,8,1,9,1,5,4,1,1,23,5,1,5,0,1,2,0,0,3,0,2,0,4,0,3,1,6,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0
krupskaya_samoubiystva_uchashihsya.txt_chunk2,krupskaya,7,4,3,0,0,0,12,28,2,0,1,6,1,1,1,9,1,0,0,0,1,3,35,1,4,1,4,10,5,1,1,2,3,4,0,10,14,1,1,8,9,1,12,3,2,5,0,4,1,2,21,0,3,5,1,3,4,3,2,8,1,2,0,7,7,0,7,2,1,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
krupskaya_shkolnie_kolonii.txt_chunk1,krupskaya,6.443298969072164,0,19.329896907216497,0,0,1.288659793814433,0,38.659793814432994,0,0,1.288659793814433,2.577319587628866,0,2.577319587628866,18.04123711340206,0,0,2.577319587628866,0,1.288659793814433,5.154639175257732,5.154639175257732,45.103092783505154,2.577319587628866,0,0,3.865979381443299,0,3.865979381443299,0,1.288659793814433,3.865979381443299,1.288659793814433,0,1.288659793814433,10.309278350515465,16.75257731958763,2.577319587628866,0,10.309278350515465,3.865979381443299,2.577319587628866,0,1.288659793814433,3.865979381443299,1.288659793814433,0,5.154639175257732,1.288659793814433,2.577319587628866,9.02061855670103,0,1.288659793814433,0,5.154639175257732,2.577319587628866,0,2.577319587628866,2.577319587628866,5.154639175257732,0,3.865979381443299,1.288659793814433,3.865979381443299,1.288659793814433,1.288659793814433,2.577319587628866,1.288659793814433,0,3.865979381443299,0,0,2.577319587628866,0,3.865979381443299,2.577319587628866,1.288659793814433,1.288659793814433,1.288659793814433,1.288659793814433,0,0,0,0,0,2.577319587628866,0,2.577319587628866,1.288659793814433,0,0,0,0,0,2.577319587628866,2.577319587628866,0,0,0,0
krupskaya_sovmestnoe_obuchenie.txt_chunk1,krupskaya,5,3,1,0,0,1,3,26,0,12,0,1,3,1,2,4,1,3,1,0,2,1,43,1,5,0,3,7,7,2,1,1,12,5,0,23,14,0,0,0,9,1,1,1,1,2,2,3,1,5,8,0,1,1,0,8,1,8,1,0,1,2,3,11,3,4,2,0,1,2,0,1,1,0,6,1,1,5,3,0,7,0,0,0,0,1,0,2,0,0,0,0,0,3,4,0,0,0,0,0
krupskaya_sovmestnoe_obuchenie.txt_chunk2,krupskaya,9,5,6,0,0,0,6,29,4,3,0,5,1,1,2,6,3,1,0,1,2,2,39,5,5,1,4,10,9,2,0,0,1,8,2,15,18,2,0,9,5,2,11,3,2,5,3,2,0,5,9,1,2,2,1,2,2,6,1,4,0,1,2,14,3,2,5,5,2,4,0,0,0,0,7,0,0,1,0,2,6,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
krupskaya_sovmestnoe_obuchenie.txt_chunk3,krupskaya,5,0,3,0,0,1,3,36,1,4,0,1,1,1,3,4,1,3,0,2,3,3,27,2,5,1,2,6,7,3,2,3,1,5,0,8,16,2,0,8,10,1,7,2,4,3,0,2,0,2,12,1,0,0,0,4,1,2,5,1,2,6,6,17,5,2,2,1,1,2,7,1,0,1,3,1,2,1,1,0,2,0,0,2,0,1,1,2,0,0,0,0,1,2,1,0,0,0,0,0
